Genes	Preferred_name	Description
Tco_008409		Di-glucose binding within endoplasmic reticulum
Tco_008410	aay	Phosphoserine phosphatase activity. It is involved in the biological process described with L-serine biosynthetic process
Tco_008411	INO80B	PAPA-1-like conserved region
Tco_008412		Domain that may be involved in binding ubiquitin-conjugating enzymes (UBCs)
Tco_008413	sni	Oxidoreductase activity. It is involved in the biological process described with metabolic process
Tco_008414	MKS1	smoothened signaling pathway involved in regulation of secondary heart field cardioblast proliferation
Tco_008416		DNA- binding
Tco_008416		DNA binding
Tco_008417		AAA domain
Tco_008418		MATH domain
Tco_008419		Rogdi leucine zipper containing protein
Tco_008421		melanosome assembly
Tco_008423	EG:23E12.2	Rho guanyl-nucleotide exchange factor activity. It is involved in the biological process described with regulation of Rho protein signal transduction
Tco_008424		Synaptosomal-associated protein
Tco_008425		melanosome assembly
Tco_008427	EG:23E12.2	Rho guanyl-nucleotide exchange factor activity. It is involved in the biological process described with regulation of Rho protein signal transduction
Tco_008428		Synaptosomal-associated protein
Tco_008429	Amyrel	activity. It is involved in the biological process described with carbohydrate metabolic process
Tco_008430		CAF1 family ribonuclease
Tco_008431		This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium
Tco_008432		Phosphoenolpyruvate phosphomutase
Tco_008433		Ankyrin repeat domain-containing protein
Tco_008434	INTS2	It is involved in the biological process described with snRNA processing
Tco_008435		COMPASS (Complex proteins associated with Set1p) component N
Tco_008436	Cpr	Flavodoxin
Tco_008439		zinc transporter
Tco_008440	DNASE1	deoxyribonuclease I
Tco_008441		Ubiquitinyl hydrolase activity. It is involved in the biological process described with ubiquitin-dependent protein catabolic process
Tco_008442		ARF GTPase activator activity. It is involved in the biological process described with regulation of ARF GTPase activity
Tco_008443		Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
Tco_008444	RANBP1	RAN binding protein 1
Tco_008445	wbl	It is involved in the biological process described with protein secretion
Tco_008446		Uncharacterised ACR, YagE family COG1723
Tco_008447		It is involved in the biological process described with phospholipid metabolic process
Tco_008448		transporter activity. It is involved in the biological process described with sodium ion transport
Tco_008449		Rtf2 RING-finger
Tco_008450	Rox8	nucleic acid binding
Tco_008461		Belongs to the GMC oxidoreductase family
Tco_008462		flavin adenine dinucleotide binding. It is involved in the biological process described with oxidation-reduction process
Tco_008483		Reverse transcriptase (RNA-dependent DNA polymerase)
Tco_008484		Reverse transcriptase (RNA-dependent DNA polymerase)
Tco_008488		catalytic activity. It is involved in the biological process described with metabolic process
Tco_008490		positive regulation of TOR signaling
Tco_008493		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_008504	mt:ND5	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
Tco_008514		dipeptidyl-peptidase activity. It is involved in the biological process described with proteolysis
Tco_008515		Hydrolase activity. It is involved in the biological process described with metabolic process
Tco_008516		Neurochondrin
Tco_008518		dipeptidyl-peptidase activity. It is involved in the biological process described with proteolysis
Tco_008519	POLA2	DNA-directed DNA polymerase activity
Tco_008525	hppy	Belongs to the protein kinase superfamily. STE Ser Thr protein kinase family. STE20 subfamily
Tco_008527	AUH	AU RNA binding protein enoyl-Coenzyme A hydratase
Tco_008529		NAD(P)H-binding
Tco_008538		binding. It is involved in the biological process described with negative regulation of Arp2 3 complex-mediated actin nucleation
Tco_008540		catalytic activity. It is involved in the biological process described with metabolic process
Tco_008540		AMP-binding enzyme
Tco_008547		Belongs to the SNF2 RAD54 helicase family. SMARCAL1 subfamily
Tco_008555	GSC	neural crest cell fate specification
Tco_008556		Phosphotransferase activity, for other substituted phosphate groups. It is involved in the biological process described with phospholipid biosynthetic process
Tco_008557		protein MEF2BNB homolog
Tco_008558		Beige/BEACH domain
Tco_008565	NEUROD1	regulation of intestinal epithelial structure maintenance
Tco_008567		BESS motif
Tco_008572	mmd	ADAM Cysteine-Rich Domain
Tco_008573	mmd	It is involved in the biological process described with proteolysis
Tco_008574		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_008576		DDE superfamily endonuclease
Tco_008577	AlkB	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors. It is involved in the biological process described with oxidation-reduction process
Tco_008580		chromatin binding
Tco_008581		It is involved in the biological process described with lipid metabolic process
Tco_008582		Catalytic subunit of the tRNA-splicing ligase complex that acts by directly joining spliced tRNA halves to mature-sized tRNAs by incorporating the precursor-derived splice junction phosphate into the mature tRNA as a canonical 3',5'- phosphodiester. May act as a RNA ligase with broad substrate specificity, and may function toward other RNAs
Tco_008583	smid	ATP binding
Tco_008583	NVL	preribosome binding
Tco_008584		WD repeat-containing protein
Tco_008585	EXOSC5	Exosome complex component
Tco_008586		Lysine methyltransferase
Tco_008587	scat	It is involved in the biological process described with retrograde transport, endosome to Golgi
Tco_008590		receptor activity. It is involved in the biological process described with multicellular organismal development
Tco_008591	VPS41	vacuole fusion, non-autophagic
Tco_008592		transposition
Tco_008595		potassium voltage-gated channel, subfamily H
Tco_008595		Voltage-gated potassium channel activity. It is involved in the biological process described with
Tco_008598	MAD2L2	Mitotic spindle assembly checkpoint protein
Tco_008599		Transmembrane protein 177-like
Tco_008600	GPKOW	G patch domain and KOW
Tco_008605		K02A2.6-like
Tco_008609		Transposase IS4
Tco_008611		Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Tco_008617		Myb/SANT-like DNA-binding domain
Tco_008618		Translation initiation factor IF-2, N-terminal region
Tco_008622	SAMD3	sterile alpha motif
Tco_008631		DNA- binding
Tco_008637		optic lobe placode development
Tco_008651		GTP binding. It is involved in the biological process described with protein transport
Tco_008653		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_008656	NFKB1	nuclear factor
Tco_008661	NFKB1	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
Tco_008663	atl	GTPase activity
Tco_008666		Metal ion binding
Tco_008667	Psn	subunit of the gamma-secretase complex, an endoprotease complex that catalyzes the intramembrane cleavage of integral membrane proteins such as Notch receptors
Tco_008669		Metal ion binding
Tco_008670		intracellular chloride channel activity
Tco_008673		Belongs to the ubiquitin-conjugating enzyme family
Tco_008675	PI15	Belongs to the CRISP family
Tco_008678		HOOK protein
Tco_008679	ATP13A2	Cation-transporting atpase
Tco_008680		It is involved in the biological process described with transmembrane transport
Tco_008681	MOCS1	Molybdenum cofactor
Tco_008682		activity. It is involved in the biological process described with regulation of cell proliferation
Tco_008683		helix loop helix domain
Tco_008684	NAA40	N-alpha-acetyltransferase 40, NatD catalytic subunit
Tco_008685	TDP1	3'-tyrosyl-DNA phosphodiesterase activity
Tco_008686	CNTD1	homologous recombination
Tco_008687		DNA- binding
Tco_008689		Acts as a calcium-dependent, homophilic cell adhesion molecule that regulates neural recognition during the development of the nervous system. Component of the repulsive Plexin signaling response to regulate motor axon guidance at the embryonic stage. Also component of a receptor complex that is required in the adult visual system to innervate the lamina layer
Tco_008690	POLR1C	Polymerase (RNA) I polypeptide C, 30kDa
Tco_008691	AP-2sigma	Protein transporter activity. It is involved in the biological process described with vesicle-mediated transport
Tco_008692	CCNB2	Belongs to the cyclin family
Tco_008695	AP4M1	Adaptor-related protein complex 4, mu 1 subunit
Tco_008700		BESS motif
Tco_008701		Transposase IS4
Tco_008707		Transposase IS4
Tco_008716	NFKB1	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
Tco_008717		Major Facilitator Superfamily
Tco_008717		transmembrane transport
Tco_008720		DDE superfamily endonuclease
Tco_008724		MADF
Tco_008726		BESS motif
Tco_008728		Globin
Tco_008730	DNAL1	light chain 1
Tco_008730	DNAL1	motor activity
Tco_008731	NINL	Ninein-like
Tco_008732		Animal haem peroxidase
Tco_008735	Dl	Notch ligand involved in the mediation of Notch signaling
Tco_008736		Dihydrolipoyllysine-residue succinyltransferase activity. It is involved in the biological process described with tricarboxylic acid cycle
Tco_008739	pros	DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_008743		Glutaredoxin
Tco_008744		heme binding. It is involved in the biological process described with response to oxidative stress
Tco_008748		regulation of defense response to virus by host
Tco_008749		transferase activity, transferring phosphorus-containing groups
Tco_008753		Microtubule-associated protein CRIPT
Tco_008754		Zinc finger, C3HC4 type (RING finger)
Tco_008755		binding. It is involved in the biological process described with mRNA processing
Tco_008756	kinesin-3D	Microtubule binding
Tco_008757	KIF16B	anterograde neuronal dense core vesicle transport
Tco_008758		Belongs to the class I-like SAM-binding methyltransferase superfamily. Glycine N-methyltransferase family
Tco_008759	ARL16	ADP-ribosylation factor-like
Tco_008760		nucleic acid binding
Tco_008761	mit(1)15	It is involved in the biological process described with mitotic nuclear division
Tco_008762	Slh	Belongs to the STXBP unc-18 SEC1 family
Tco_008764	BMP2	bone morphogenetic protein
Tco_008766	GDF6	Growth differentiation factor 6
Tco_008767		Solute carrier family 30 (zinc transporter), member 6
Tco_008769	TBCC	post-chaperonin tubulin folding pathway
Tco_008773		Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.
Tco_008775	MAP1LC3C	Autophagy protein Atg8 ubiquitin like
Tco_008776	ix	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors (By similarity)
